2023-11-24 14:56:02
GET: -nan
GET: 179002.84
GET: 179284.09
GET: 179574.19
GET: 179889.97
GET: 180200.11
GET: 180491.97
GET: 180745.47
GET: 180963.03
GET: 181193.55
GET: 181437.72
GET: 181691.59
GET: 181967.14
GET: 182235.19
GET: 182507.23
GET: 182815.06
GET: 183132.64
GET: 183459.36
GET: 183816.03
GET: 184253.14
GET: 184784.16
GET: 185399.58
GET: 186079.12
GET: 186732.42
GET: 187367.48
GET: 188000.31
GET: 188643.22
====== GET ======
  20000016 requests completed in 105.86 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.23% <= 0.3 milliseconds
2.38% <= 0.4 milliseconds
18.15% <= 0.5 milliseconds
34.34% <= 0.6 milliseconds
55.84% <= 0.7 milliseconds
73.79% <= 0.8 milliseconds
84.77% <= 0.9 milliseconds
92.60% <= 1.0 milliseconds
96.55% <= 1.1 milliseconds
98.75% <= 1.2 milliseconds
99.59% <= 1.3 milliseconds
99.76% <= 1.4 milliseconds
99.84% <= 1.5 milliseconds
99.90% <= 1.6 milliseconds
99.94% <= 1.7 milliseconds
99.96% <= 1.8 milliseconds
99.97% <= 1.9 milliseconds
99.97% <= 2 milliseconds
99.99% <= 3 milliseconds
99.99% <= 4 milliseconds
100.00% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 6 milliseconds
188921.80 requests per second


