2023-11-24 14:47:02
GET: -nan
GET: 256032.00
GET: 252336.00
GET: 248394.67
GET: 239216.00
GET: 231148.80
GET: 223568.00
GET: 218372.58
GET: 210884.00
GET: 202584.89
GET: 194435.20
GET: 187630.55
GET: 181864.00
GET: 176731.08
GET: 172333.72
GET: 168544.00
GET: 165614.00
GET: 163109.64
GET: 161267.56
GET: 159486.31
GET: 158017.59
GET: 156408.38
GET: 154855.27
GET: 154174.61
GET: 153528.00
GET: 153634.56
GET: 153794.47
GET: 153929.48
GET: 155017.14
GET: 156098.20
GET: 157072.00
GET: 158040.78
GET: 158903.00
GET: 159795.39
GET: 160522.36
GET: 160846.62
GET: 162172.44
GET: 163271.78
GET: 164747.80
GET: 166039.80
GET: 166731.20
GET: 167010.34
GET: 166718.47
GET: 167111.44
GET: 167458.19
GET: 167807.28
GET: 168000.00
GET: 168204.25
GET: 168027.33
GET: 167671.52
GET: 167347.84
GET: 167364.39
GET: 167132.31
GET: 166521.36
GET: 165918.22
GET: 165325.38
GET: 165006.28
GET: 164758.45
GET: 164226.20
GET: 163557.97
GET: 163010.14
GET: 162291.94
GET: 161557.16
GET: 160842.16
GET: 160203.50
GET: 159545.59
GET: 158919.75
GET: 158397.14
GET: 158432.00
GET: 158465.86
GET: 158496.00
GET: 158472.56
GET: 158471.11
GET: 158496.00
GET: 158572.55
GET: 158964.05
GET: 159340.62
GET: 159485.92
GET: 159465.84
GET: 159474.23
GET: 159980.80
GET: 159615.61
GET: 159267.52
GET: 158846.12
GET: 158193.23
GET: 157564.45
GET: 156956.92
GET: 156433.23
GET: 155922.55
GET: 155379.11
GET: 154836.02
GET: 154364.97
GET: 153864.19
GET: 153380.30
GET: 152912.91
GET: 152446.25
GET: 152010.33
GET: 151722.92
GET: 151539.64
GET: 151395.95
GET: 151868.81
GET: 152300.95
GET: 152432.58
GET: 152505.42
GET: 152545.17
GET: 152613.11
GET: 152668.91
GET: 152718.27
GET: 152745.39
GET: 152781.42
GET: 152724.00
GET: 152600.16
GET: 152427.67
GET: 152257.67
GET: 152089.81
GET: 151969.39
GET: 151829.25
GET: 151652.69
GET: 151469.89
GET: 151282.89
GET: 151088.89
GET: 150923.48
GET: 150729.56
