2023-11-24 14:56:02
GET: -nan
GET: 340768.00
GET: 289408.00
GET: 270517.34
GET: 261592.00
GET: 255206.41
GET: 249082.67
GET: 244781.72
GET: 241616.00
GET: 239868.44
GET: 237468.80
GET: 236122.19
GET: 235208.00
GET: 234370.47
GET: 233376.00
GET: 233090.14
GET: 232792.00
GET: 232508.23
GET: 231891.56
GET: 231535.16
GET: 231238.41
GET: 231181.72
GET: 231381.81
GET: 231622.95
GET: 231418.67
GET: 230585.59
GET: 230609.23
GET: 230686.81
GET: 230686.86
GET: 230148.41
GET: 229446.41
GET: 228912.52
GET: 228472.00
GET: 228168.73
GET: 227803.30
GET: 227505.38
GET: 227216.89
GET: 227348.75
GET: 227727.16
GET: 227917.95
GET: 227784.80
GET: 225760.00
GET: 223430.86
GET: 221126.70
GET: 219315.64
GET: 217576.53
GET: 215764.88
GET: 213919.31
GET: 212086.00
GET: 210329.92
GET: 208630.34
GET: 206981.09
GET: 205344.20
GET: 205075.53
GET: 204995.77
GET: 204969.53
GET: 205048.78
GET: 205216.75
GET: 205241.02
GET: 204964.00
GET: 203401.38
GET: 201940.84
GET: 200674.02
GET: 199606.88
GET: 198368.11
GET: 197233.91
GET: 197244.78
GET: 197254.38
GET: 197141.83
GET: 196689.36
GET: 196225.14
GET: 195712.70
GET: 195225.61
GET: 194748.78
GET: 194298.69
GET: 193837.14
GET: 193397.83
GET: 193348.92
GET: 193662.69
GET: 193833.64
GET: 193822.72
GET: 193787.58
GET: 193700.22
GET: 193613.03
GET: 193511.55
GET: 193757.66
GET: 194139.44
GET: 194438.14
GET: 194767.88
GET: 195109.27
GET: 195462.61
GET: 195790.25
GET: 196112.17
GET: 196465.70
GET: 196837.59
GET: 197142.02
GET: 197515.11
GET: 197734.36
GET: 197961.89
GET: 198156.03
GET: 198289.03
GET: 198388.34
GET: 198586.09
GET: 198591.44
GET: 198463.14
GET: 198349.47
GET: 198300.14
GET: 198054.36
GET: 197728.98
GET: 197426.00
GET: 196983.97
GET: 196434.88
GET: 195929.86
GET: 195503.73
GET: 195241.44
GET: 194977.30
GET: 194802.39
GET: 195056.58
GET: 195279.89
GET: 195417.17
GET: 195569.48
GET: 195714.00
GET: 195736.80
GET: 195739.20
GET: 195520.14
GET: 195223.97
GET: 194947.22
GET: 194678.59
GET: 194429.42
GET: 194162.55
GET: 193916.25
GET: 193680.31
GET: 193582.27
GET: 193769.33
GET: 194012.12
GET: 194253.92
GET: 194508.41
GET: 194690.27
GET: 194645.48
GET: 194906.86
GET: 195147.56
GET: 195378.06
GET: 195603.73
GET: 195836.77
GET: 195975.00
GET: 196057.48
GET: 196148.27
GET: 196252.19
GET: 196357.30
GET: 196507.80
GET: 196615.98
GET: 196740.75
GET: 196859.45
GET: 196979.11
GET: 197031.77
GET: 196970.61
GET: 196975.27
GET: 196951.52
GET: 196927.47
GET: 196857.23
GET: 196823.48
GET: 196796.50
GET: 196895.88
GET: 196987.95
GET: 197042.03
GET: 196789.22
GET: 196465.83
GET: 196137.09
GET: 195794.39
GET: 195461.59
GET: 195141.39
GET: 194821.36
GET: 194503.94
GET: 194132.48
GET: 193729.44
GET: 193411.08
GET: 193093.44
GET: 192771.59
GET: 192449.97
GET: 192154.28
GET: 191864.53
GET: 191602.22
GET: 191258.39
GET: 190918.14
GET: 190582.30
GET: 190253.88
GET: 189925.38
GET: 189591.33
GET: 189229.34
GET: 188857.03
GET: 188558.88
GET: 188302.64
GET: 188009.42
GET: 187740.12
GET: 187501.97
GET: 187250.19
GET: 187010.44
GET: 186958.61
GET: 186890.17
GET: 186800.41
GET: 186670.89
GET: 186445.23
GET: 186655.38
GET: 186947.45
GET: 187208.61
GET: 187125.52
GET: 186911.69
GET: 186702.69
GET: 186496.02
GET: 186278.77
GET: 186052.92
GET: 185821.17
GET: 185664.06
GET: 185820.75
GET: 185959.97
GET: 186107.28
GET: 186196.33
GET: 186245.62
