2023-11-24 14:52:02
GET: -nan
GET: 365760.00
GET: 370560.00
GET: 371925.34
GET: 373320.00
GET: 371129.59
GET: 358442.66
GET: 339264.00
GET: 324004.00
GET: 311477.34
GET: 301833.59
GET: 293570.91
GET: 286557.34
GET: 281156.94
GET: 276742.84
GET: 272296.53
GET: 268372.00
GET: 265008.94
GET: 261276.44
GET: 255279.16
GET: 249870.41
GET: 244623.23
GET: 240170.19
GET: 236797.22
GET: 233976.00
GET: 232189.44
GET: 230626.47
GET: 229287.11
GET: 227644.58
GET: 226115.31
GET: 224874.67
GET: 223418.84
GET: 222286.00
GET: 220477.09
GET: 218726.59
GET: 217514.06
GET: 216868.44
GET: 216227.45
GET: 215904.00
GET: 216080.41
GET: 216205.59
GET: 216329.36
GET: 216474.67
GET: 216570.80
GET: 216721.45
GET: 216861.86
GET: 216930.78
GET: 217016.52
GET: 217079.33
GET: 217199.02
GET: 217280.64
GET: 217340.86
GET: 217369.84
GET: 217432.16
GET: 217511.11
GET: 217508.66
GET: 217106.28
GET: 216680.42
GET: 216310.06
GET: 215883.39
GET: 215504.00
GET: 215193.70
GET: 214859.88
GET: 214521.39
GET: 214216.00
GET: 213922.95
GET: 213660.12
GET: 213381.73
GET: 213084.70
GET: 212824.58
GET: 212969.14
GET: 213389.08
GET: 213769.78
GET: 214149.27
GET: 214472.66
GET: 214718.30
GET: 214869.05
GET: 215137.25
GET: 215411.28
GET: 215698.64
GET: 216041.20
GET: 216428.64
GET: 216803.52
GET: 217169.73
GET: 217536.38
GET: 217821.36
GET: 218071.06
GET: 218209.84
GET: 218300.36
GET: 218440.62
GET: 218589.16
GET: 218769.58
GET: 218982.95
GET: 219236.47
GET: 219378.05
GET: 219404.80
GET: 219402.67
GET: 219570.14
GET: 219729.95
GET: 219997.73
GET: 220295.36
GET: 220549.70
GET: 220725.02
GET: 220688.78
GET: 220678.47
GET: 220580.27
GET: 220246.03
GET: 220051.73
GET: 219894.52
GET: 219768.08
GET: 219633.45
GET: 219527.78
GET: 219296.00
GET: 219064.92
GET: 218819.38
GET: 218692.73
GET: 218561.38
GET: 218487.25
GET: 218404.34
GET: 217879.39
GET: 217568.00
GET: 217383.67
GET: 217120.00
GET: 216804.69
GET: 216484.64
GET: 215984.12
GET: 215496.38
GET: 215009.02
GET: 214546.00
GET: 214083.22
GET: 213634.70
GET: 213423.88
GET: 213466.91
GET: 213648.59
GET: 213581.84
GET: 213453.98
GET: 213455.06
GET: 213318.08
GET: 213028.88
GET: 212482.53
GET: 211963.89
GET: 211530.89
GET: 211325.52
GET: 211107.58
GET: 210899.78
GET: 210692.64
GET: 210411.61
GET: 210013.61
GET: 209604.11
GET: 209408.42
GET: 209208.75
GET: 209021.03
GET: 208806.11
GET: 208518.28
GET: 208356.36
GET: 208411.25
GET: 208564.92
GET: 208717.86
GET: 208879.19
GET: 208842.06
GET: 208835.59
GET: 208938.94
GET: 209064.30
GET: 209186.75
GET: 209316.30
GET: 209496.83
GET: 209687.70
GET: 209806.56
GET: 209824.58
GET: 209916.03
GET: 210014.12
GET: 210109.75
GET: 210207.62
GET: 210299.19
GET: 210391.36
GET: 210548.11
GET: 210721.09
GET: 210922.67
GET: 211138.34
GET: 211329.08
GET: 211514.48
GET: 211619.00
GET: 211642.72
GET: 211317.69
GET: 211059.66
GET: 210682.98
GET: 210261.84
GET: 209849.67
GET: 209888.17
GET: 209970.28
GET: 210090.95
GET: 210191.58
GET: 210304.33
GET: 210452.89
GET: 210602.23
GET: 210729.69
GET: 210860.58
GET: 211029.92
GET: 211174.14
GET: 211116.70
GET: 211054.41
GET: 210990.02
GET: 210820.12
GET: 210596.73
GET: 210364.23
GET: 210148.06
GET: 209874.48
GET: 209544.66
GET: 209333.69
GET: 209143.27
GET: 208923.12
GET: 208659.11
GET: 208456.16
GET: 208256.45
GET: 208045.75
GET: 208073.67
GET: 208096.30
GET: 208153.95
GET: 208224.00
GET: 208290.78
GET: 208342.55
GET: 208375.75
GET: 208432.72
GET: 208535.11
GET: 208656.00
GET: 208792.03
GET: 208919.08
GET: 209052.19
GET: 209181.61
GET: 209296.91
GET: 209386.86
GET: 209306.05
GET: 209059.59
GET: 208779.53
GET: 208493.81
GET: 208171.58
GET: 207854.11
GET: 207542.95
GET: 207332.97
GET: 207222.62
GET: 207173.20
GET: 207117.28
GET: 207137.72
GET: 207180.11
GET: 207344.66
GET: 207331.14
GET: 207294.83
GET: 207228.25
GET: 207143.48
GET: 207037.81
GET: 206922.75
GET: 206917.09
GET: 206936.89
GET: 206973.09
GET: 207007.75
GET: 207060.58
GET: 207120.38
GET: 207182.06
GET: 207229.16
GET: 207295.03
GET: 207344.50
GET: 207389.69
GET: 207397.75
GET: 207206.95
GET: 207156.73
GET: 207207.98
GET: 207317.78
GET: 207418.02
GET: 207520.61
GET: 207616.61
GET: 207705.48
GET: 207783.09
GET: 207842.36
GET: 207900.48
GET: 207970.11
GET: 208033.28
GET: 208101.91
GET: 208173.17
GET: 208240.00
GET: 208051.50
GET: 207810.06
GET: 207544.72
GET: 207317.69
GET: 207106.73
GET: 206969.38
GET: 206835.89
GET: 206789.17
GET: 206796.50
GET: 206875.91
GET: 206934.05
GET: 207013.20
GET: 207081.91
GET: 207159.25
GET: 207244.58
GET: 207246.38
GET: 207098.81
GET: 207099.36
GET: 207065.44
GET: 207043.77
GET: 207025.89
GET: 207045.45
GET: 207112.31
GET: 207177.66
GET: 207221.66
GET: 207270.95
GET: 207359.91
GET: 207460.19
GET: 207544.92
GET: 207602.30
GET: 207680.11
GET: 207735.23
GET: 207612.30
GET: 207473.86
GET: 207341.09
GET: 207211.53
GET: 207169.33
GET: 207140.77
GET: 207120.36
GET: 207143.06
GET: 207176.14
GET: 207211.72
GET: 207233.11
GET: 207249.59
GET: 207274.91
GET: 207299.38
GET: 207325.06
GET: 207292.77
GET: 207098.83
GET: 206930.55
GET: 206942.75
GET: 207035.55
GET: 207139.48
GET: 207285.70
GET: 207444.58
GET: 207556.03
GET: 207655.75
GET: 207803.14
GET: 207947.20
GET: 208089.66
GET: 208233.44
GET: 208381.45
GET: 208540.42
GET: 208621.38
GET: 208659.41
GET: 208759.72
GET: 208867.98
GET: 208968.31
GET: 209075.91
GET: 209192.36
GET: 209254.77
GET: 209255.94
GET: 209321.38
GET: 209417.44
GET: 209516.31
GET: 209480.39
GET: 209601.88
GET: 209718.28
GET: 209836.62
GET: 209851.67
GET: 209732.86
GET: 209650.09
GET: 209606.70
GET: 209603.50
GET: 209629.23
GET: 209616.58
GET: 209613.64
GET: 209610.45
GET: 209662.05
GET: 209613.70
GET: 209524.70
GET: 209436.94
GET: 209365.88
GET: 209353.52
GET: 209396.39
GET: 209479.16
GET: 209552.86
GET: 209717.41
GET: 209978.44
GET: 210221.42
GET: 210501.52
====== GET ======
  20000064 requests completed in 94.91 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
2.71% <= 0.4 milliseconds
10.79% <= 0.5 milliseconds
55.98% <= 0.6 milliseconds
81.26% <= 0.7 milliseconds
91.29% <= 0.8 milliseconds
96.80% <= 0.9 milliseconds
99.11% <= 1.0 milliseconds
99.56% <= 1.1 milliseconds
99.68% <= 1.2 milliseconds
99.77% <= 1.3 milliseconds
99.86% <= 1.4 milliseconds
99.92% <= 1.5 milliseconds
99.94% <= 1.6 milliseconds
99.96% <= 1.7 milliseconds
99.96% <= 1.8 milliseconds
99.96% <= 1.9 milliseconds
99.97% <= 2 milliseconds
99.98% <= 3 milliseconds
99.99% <= 4 milliseconds
99.99% <= 5 milliseconds
100.00% <= 6 milliseconds
100.00% <= 6 milliseconds
210719.95 requests per second


